,Initial Value,Final Value,Number of Votes,Yays,Majority Party Size,Distance between Medians,Majority St. Dev.,Majority Round Adjustment,Minority St. Dev.,Minority Round Adjustment
1,0.036644534819828656,0.008473482917045473,5.0,52.0,51.0,0.0,0.1,0.01,0.1,0.01
2,-0.17732569583443378,-0.08732569583443378,10.0,58.0,51.0,0.0,0.1,0.01,0.1,0.01
3,-0.08397874500607762,-0.02397874500607762,7.0,56.0,51.0,0.0,0.1,0.01,0.1,0.01
4,0.015369389541944653,0.015369389541944653,6.0,53.0,51.0,0.0,0.1,0.01,0.1,0.01
5,0.0012369653429053738,0.008699580074260737,7.0,53.0,51.0,0.0,0.1,0.01,0.1,0.01
6,-0.13491607266872588,-0.06491607266872587,8.0,56.0,51.0,0.0,0.1,0.01,0.1,0.01
7,0.12049002345450786,0.05049002345450787,8.0,60.0,51.0,0.0,0.1,0.01,0.1,0.01
8,0.1899393938853514,0.0799393938853514,12.0,52.0,51.0,0.0,0.1,0.01,0.1,0.01
9,0.05935115158848882,-0.0006488484115111798,7.0,59.0,51.0,0.0,0.1,0.01,0.1,0.01
10,-0.007684447422150475,-0.010992196610882325,6.0,55.0,51.0,0.0,0.1,0.01,0.1,0.01
11,0.012974331030425269,0.012974331030425269,6.0,53.0,51.0,0.0,0.1,0.01,0.1,0.01
12,0.11279546962349406,0.03279546962349407,9.0,56.0,51.0,0.0,0.1,0.01,0.1,0.01
13,-0.09524397026543201,-0.045243970265432004,6.0,51.0,51.0,0.0,0.1,0.01,0.1,0.01
14,-0.012192021818449169,-0.03619794786839064,7.0,56.0,51.0,0.0,0.1,0.01,0.1,0.01
15,-0.0019099518057493596,-0.005723805741313936,6.0,53.0,51.0,0.0,0.1,0.01,0.1,0.01
16,-0.03485481451047065,0.015145185489529353,6.0,57.0,51.0,0.0,0.1,0.01,0.1,0.01
17,-0.031935264392498636,-0.012876292906737497,6.0,51.0,51.0,0.0,0.1,0.01,0.1,0.01
18,-0.16616352098501028,-0.08616352098501028,9.0,51.0,51.0,0.0,0.1,0.01,0.1,0.01
19,-0.021303765473566636,0.005687367042704944,6.0,52.0,51.0,0.0,0.1,0.01,0.1,0.01
20,0.018740279631899847,-0.021259720368100157,5.0,53.0,51.0,0.0,0.1,0.01,0.1,0.01
21,-0.006081623007679521,-0.006081623007679521,7.0,54.0,51.0,0.0,0.1,0.01,0.1,0.01
22,-0.25265986248045946,-0.1326598624804595,13.0,52.0,51.0,0.0,0.1,0.01,0.1,0.01
23,0.009891837813157438,0.009891837813157438,6.0,56.0,51.0,0.0,0.1,0.01,0.1,0.01
24,-0.26435528567560107,-0.1343552856756011,14.0,52.0,51.0,0.0,0.1,0.01,0.1,0.01
25,0.08845662109301008,0.028456621093010087,7.0,52.0,51.0,0.0,0.1,0.01,0.1,0.01
26,-0.13189805957307224,-0.061898059573072234,8.0,57.0,51.0,0.0,0.1,0.01,0.1,0.01
27,0.12621210059219967,0.06621210059219966,7.0,53.0,51.0,0.0,0.1,0.01,0.1,0.01
28,-0.08698745960119925,-0.036987459601199243,6.0,51.0,51.0,0.0,0.1,0.01,0.1,0.01
29,-0.013980430781967949,-0.013980430781967949,7.0,60.0,51.0,0.0,0.1,0.01,0.1,0.01
30,0.0027045970900607913,0.0027045970900607913,7.0,54.0,51.0,0.0,0.1,0.01,0.1,0.01
31,0.07584290350823614,0.01584290350823614,7.0,52.0,51.0,0.0,0.1,0.01,0.1,0.01
32,-0.014053950510729121,-0.014053950510729121,6.0,51.0,51.0,0.0,0.1,0.01,0.1,0.01
33,-0.11866581621310142,-0.05866581621310142,7.0,54.0,51.0,0.0,0.1,0.01,0.1,0.01
34,0.04798219262528727,-0.0020178073747127295,6.0,56.0,51.0,0.0,0.1,0.01,0.1,0.01
35,-0.1540859061119291,-0.0740859061119291,9.0,54.0,51.0,0.0,0.1,0.01,0.1,0.01
36,0.01739168693819899,0.0023919794160878766,5.0,54.0,51.0,0.0,0.1,0.01,0.1,0.01
37,0.015635791401667033,-0.009379555672373545,6.0,51.0,51.0,0.0,0.1,0.01,0.1,0.01
38,0.04634920336456273,0.009924627439763231,7.0,55.0,51.0,0.0,0.1,0.01,0.1,0.01
39,-0.08883205315540361,-0.028832053155403617,7.0,53.0,51.0,0.0,0.1,0.01,0.1,0.01
40,-0.0573698501074672,-0.01801228124499155,7.0,58.0,51.0,0.0,0.1,0.01,0.1,0.01
41,-0.1097881459515838,-0.049788145951583804,7.0,57.0,51.0,0.0,0.1,0.01,0.1,0.01
42,0.025212251981921625,0.025212251981921625,6.0,52.0,51.0,0.0,0.1,0.01,0.1,0.01
